series,episode,name,date,player,total
11,9,Mr Octopus and Pottyhands.,2021-05-13,Charlotte Ritchie,20
11,10,Activate Jamali.,2021-05-20,Jamali Maddix,12
11,10,Activate Jamali.,2021-05-20,Sarah Kendall,12
11,10,Activate Jamali.,2021-05-20,Charlotte Ritchie,16
11,10,Activate Jamali.,2021-05-20,Mike Wozniak,17
11,10,Activate Jamali.,2021-05-20,Lee Mack,19
12,1,An imbalance in the poppability.,2021-09-23,Victoria Coren Mitchell,12
12,1,An imbalance in the poppability.,2021-09-23,Guz Khan,14
12,1,An imbalance in the poppability.,2021-09-23,Alan Davies,15
12,1,An imbalance in the poppability.,2021-09-23,Desiree Burch,16
12,1,An imbalance in the poppability.,2021-09-23,Morgana Robinson,17
12,2,Oatmeal and death.,2021-09-30,Victoria Coren Mitchell,13
12,2,Oatmeal and death.,2021-09-30,Alan Davies,16
12,2,Oatmeal and death.,2021-09-30,Desiree Burch,16
12,2,Oatmeal and death.,2021-09-30,Morgana Robinson,17
12,2,Oatmeal and death.,2021-09-30,Guz Khan,20
12,3,The end of the franchise.,2021-10-07,Victoria Coren Mitchell,13
12,3,The end of the franchise.,2021-10-07,Alan Davies,14
12,3,The end of the franchise.,2021-10-07,Guz Khan,14
12,3,The end of the franchise.,2021-10-07,Morgana Robinson,18
12,3,The end of the franchise.,2021-10-07,Desiree Burch,21
12,4,The customised inhaler.,2021-10-14,Morgana Robinson,13
12,4,The customised inhaler.,2021-10-14,Guz Khan,14
12,4,The customised inhaler.,2021-10-14,Desiree Burch,15
12,4,The customised inhaler.,2021-10-14,Victoria Coren Mitchell,16
12,4,The customised inhaler.,2021-10-14,Alan Davies,21
12,5,Croissants is croissants.,2021-10-21,Desiree Burch,8
12,5,Croissants is croissants.,2021-10-21,Victoria Coren Mitchell,10
12,5,Croissants is croissants.,2021-10-21,Alan Davies,14
12,5,Croissants is croissants.,2021-10-21,Morgana Robinson,17
12,5,Croissants is croissants.,2021-10-21,Guz Khan,21
12,6,A chair in a sweet.,2021-10-28,Victoria Coren Mitchell,9
12,6,A chair in a sweet.,2021-10-28,Alan Davies,14
12,6,A chair in a sweet.,2021-10-28,Desiree Burch,17
12,6,A chair in a sweet.,2021-10-28,Morgana Robinson,17
12,6,A chair in a sweet.,2021-10-28,Guz Khan,19
12,7,The integrity of the product.,2021-11-04,Guz Khan,8
12,7,The integrity of the product.,2021-11-04,Morgana Robinson,14
12,7,The integrity of the product.,2021-11-04,Alan Davies,16
12,7,The integrity of the product.,2021-11-04,Desiree Burch,17
12,7,The integrity of the product.,2021-11-04,Victoria Coren Mitchell,18
12,8,A couple of Ethels.,2021-11-11,Desiree Burch,9
12,8,A couple of Ethels.,2021-11-11,Victoria Coren Mitchell,9
12,8,A couple of Ethels.,2021-11-11,Morgana Robinson,19
12,8,A couple of Ethels.,2021-11-11,Alan Davies,21
12,8,A couple of Ethels.,2021-11-11,Guz Khan,21
12,9,Nothing matters.,2021-11-18,Victoria Coren Mitchell,8
12,9,Nothing matters.,2021-11-18,Alan Davies,11
12,9,Nothing matters.,2021-11-18,Guz Khan,14
12,9,Nothing matters.,2021-11-18,Morgana Robinson,18
12,9,Nothing matters.,2021-11-18,Desiree Burch,21
12,10,Caring Uncle Minpict.,2021-11-25,Victoria Coren Mitchell,13
12,10,Caring Uncle Minpict.,2021-11-25,Morgana Robinson,18
12,10,Caring Uncle Minpict.,2021-11-25,Alan Davies,19
12,10,Caring Uncle Minpict.,2021-11-25,Desiree Burch,21
12,10,Caring Uncle Minpict.,2021-11-25,Guz Khan,22
13,1,The noise that blue makes.,2022-04-14,Ardal O'Hanlon,10
13,1,The noise that blue makes.,2022-04-14,Judi Love,10
13,1,The noise that blue makes.,2022-04-14,Bridget Christie,16
13,1,The noise that blue makes.,2022-04-14,Sophie Duker,18
13,1,The noise that blue makes.,2022-04-14,Chris Ramsey,23
13,2,Birdy hand finger.,2022-04-21,Sophie Duker,13
13,2,Birdy hand finger.,2022-04-21,Judi Love,14
13,2,Birdy hand finger.,2022-04-21,Ardal O'Hanlon,15
13,2,Birdy hand finger.,2022-04-21,Bridget Christie,16
13,2,Birdy hand finger.,2022-04-21,Chris Ramsey,18
13,3,I think I've got this.,2022-04-28,Ardal O'Hanlon,11
13,3,I think I've got this.,2022-04-28,Chris Ramsey,13
13,3,I think I've got this.,2022-04-28,Judi Love,16
13,3,I think I've got this.,2022-04-28,Sophie Duker,16
13,3,I think I've got this.,2022-04-28,Bridget Christie,25
13,4,Shoe Who.,2022-05-05,Bridget Christie,16
13,4,Shoe Who.,2022-05-05,Judi Love,16
13,4,Shoe Who.,2022-05-05,Sophie Duker,16
13,4,Shoe Who.,2022-05-05,Ardal O'Hanlon,17
13,4,Shoe Who.,2022-05-05,Chris Ramsey,17
13,5,Having a little chuckle.,2022-05-12,Bridget Christie,11
13,5,Having a little chuckle.,2022-05-12,Chris Ramsey,11
13,5,Having a little chuckle.,2022-05-12,Judi Love,11
13,5,Having a little chuckle.,2022-05-12,Sophie Duker,13
13,5,Having a little chuckle.,2022-05-12,Ardal O'Hanlon,21
13,6,The 75th question.,2022-05-19,Bridget Christie,9
13,6,The 75th question.,2022-05-19,Judi Love,11
13,6,The 75th question.,2022-05-19,Ardal O'Hanlon,12
13,6,The 75th question.,2022-05-19,Chris Ramsey,15
13,6,The 75th question.,2022-05-19,Sophie Duker,15
13,7,Heg.,2022-05-26,Bridget Christie,19
13,7,Heg.,2022-05-26,Chris Ramsey,19
13,7,Heg.,2022-05-26,Ardal O'Hanlon,20
13,7,Heg.,2022-05-26,Judi Love,24
13,7,Heg.,2022-05-26,Sophie Duker,28
13,8,You tuper super.,2022-06-02,Judi Love,10
13,8,You tuper super.,2022-06-02,Chris Ramsey,14
13,8,You tuper super.,2022-06-02,Ardal O'Hanlon,18
13,8,You tuper super.,2022-06-02,Sophie Duker,19
13,8,You tuper super.,2022-06-02,Bridget Christie,20
13,9,It might be wind.,2022-06-09,Bridget Christie,7
13,9,It might be wind.,2022-06-09,Sophie Duker,13
13,9,It might be wind.,2022-06-09,Ardal O'Hanlon,14
13,9,It might be wind.,2022-06-09,Judi Love,17
13,9,It might be wind.,2022-06-09,Chris Ramsey,19
13,10,The House Queens.,2022-06-16,Judi Love,13
13,10,The House Queens.,2022-06-16,Ardal O'Hanlon,15
13,10,The House Queens.,2022-06-16,Bridget Christie,18
13,10,The House Queens.,2022-06-16,Chris Ramsey,21
13,10,The House Queens.,2022-06-16,Sophie Duker,22
